lambda,90,170,lambda,230
300,0.316455696202532,0.248908296943231,200,--
301,0.316455696202532,0.246724890829694,201,--
302,0.310126582278481,0.244541484716157,202,--
303,0.310126582278481,0.244541484716157,203,--
304,0.310126582278481,0.240174672489083,204,--
305,0.310126582278481,0.24235807860262,205,--
306,0.316455696202532,0.240174672489083,206,--
307,0.310126582278481,0.240174672489083,207,--
308,0.30379746835443,0.235807860262009,208,--
309,0.310126582278481,0.233624454148472,209,--
310,0.310126582278481,0.231441048034934,210,--
311,0.30379746835443,0.22707423580786,211,--
312,0.29746835443038,0.222707423580786,212,--
313,0.291139240506329,0.216157205240175,213,--
314,0.291139240506329,0.216157205240175,214,--
315,0.284810126582278,0.2117903930131,215,--
316,0.291139240506329,0.209606986899563,216,--
317,0.291139240506329,0.205240174672489,217,--
318,0.278481012658228,0.200873362445415,218,--
319,0.278481012658228,0.198689956331878,219,--
320,0.278481012658228,0.196506550218341,220,--
321,0.278481012658228,0.189956331877729,221,--
322,0.278481012658228,0.183406113537118,222,--
323,0.278481012658228,0.183406113537118,223,--
324,0.272151898734177,0.176855895196507,224,--
325,0.265822784810127,0.174672489082969,225,--
326,0.265822784810127,0.170305676855895,226,--
327,0.259493670886076,0.170305676855895,227,--
328,0.259493670886076,0.168122270742358,228,--
329,0.259493670886076,0.163755458515284,229,--
330,0.253164556962025,0.161572052401747,230,--
331,0.246835443037975,0.155021834061135,231,--
332,0.246835443037975,0.155021834061135,232,--
333,0.240506329113924,0.152838427947598,233,--
334,0.253164556962025,0.148471615720524,234,--
335,0.240506329113924,0.148471615720524,235,--
336,0.246835443037975,0.146288209606987,236,--
337,0.240506329113924,0.14410480349345,237,--
338,0.240506329113924,0.141921397379913,238,--
339,0.240506329113924,0.14410480349345,239,--
340,0.234177215189873,0.137554585152838,240,--
341,0.234177215189873,0.14410480349345,241,--
342,0.246835443037975,0.146288209606987,242,--
343,0.234177215189873,0.141921397379913,243,--
344,0.227848101265823,0.139737991266376,244,--
345,0.227848101265823,0.14410480349345,245,--
346,0.227848101265823,0.148471615720524,246,--
347,0.227848101265823,0.148471615720524,247,--
348,0.234177215189873,0.150655021834061,248,--
349,0.227848101265823,0.152838427947598,249,--
350,0.227848101265823,0.155021834061135,250,--
351,0.227848101265823,0.152838427947598,251,--
352,0.227848101265823,0.152838427947598,252,--
353,0.227848101265823,0.15938864628821,253,--
354,0.240506329113924,0.163755458515284,254,--
355,0.234177215189873,0.163755458515284,255,--
356,0.221518987341772,0.157205240174672,256,--
357,0.234177215189873,0.161572052401747,257,--
358,0.221518987341772,0.157205240174672,258,--
359,0.221518987341772,0.168122270742358,259,--
360,0.227848101265823,0.170305676855895,260,--
361,0.227848101265823,0.170305676855895,261,--
362,0.221518987341772,0.170305676855895,262,--
363,0.221518987341772,0.172489082969432,263,--
364,0.221518987341772,0.174672489082969,264,--
365,0.227848101265823,0.179039301310044,265,--
366,0.227848101265823,0.179039301310044,266,--
367,0.227848101265823,0.181222707423581,267,--
368,0.221518987341772,0.183406113537118,268,--
369,0.227848101265823,0.185589519650655,269,--
370,0.227848101265823,0.185589519650655,270,--
371,0.227848101265823,0.185589519650655,271,--
372,0.221518987341772,0.185589519650655,272,--
373,0.227848101265823,0.187772925764192,273,--
374,0.227848101265823,0.189956331877729,274,--
375,0.234177215189873,0.192139737991266,275,--
376,0.227848101265823,0.194323144104803,276,--
377,0.234177215189873,0.196506550218341,277,--
378,0.234177215189873,0.198689956331878,278,--
379,0.234177215189873,0.200873362445415,279,--
380,0.234177215189873,0.205240174672489,280,--
381,0.234177215189873,0.209606986899563,281,--
382,0.240506329113924,0.216157205240175,282,--
383,0.240506329113924,0.222707423580786,283,--
384,0.246835443037975,0.229257641921397,284,--
385,0.246835443037975,0.237991266375546,285,--
386,0.253164556962025,0.248908296943231,286,--
387,0.259493670886076,0.262008733624454,287,--
388,0.265822784810127,0.275109170305677,288,--
389,0.272151898734177,0.292576419213974,289,--
390,0.278481012658228,0.310043668122271,290,--
391,0.284810126582278,0.334061135371179,291,--
392,0.29746835443038,0.35589519650655,292,--
393,0.310126582278481,0.379912663755458,293,--
394,0.329113924050633,0.403930131004367,294,--
395,0.341772151898734,0.430131004366812,295,--
396,0.360759493670886,0.456331877729258,296,--
397,0.379746835443038,0.480349344978166,297,--
398,0.405063291139241,0.504366812227074,298,--
399,0.430379746835443,0.526200873362445,299,--
400,0.455696202531646,0.548034934497816,300,0.242345838723588
401,0.474683544303797,0.565502183406113,301,0.2501078050884
402,0.506329113924051,0.58296943231441,302,0.247951703320397
403,0.531645569620253,0.600436681222707,303,0.247089262613195
404,0.556962025316456,0.615720524017467,304,0.240620957309185
405,0.582278481012658,0.633187772925764,305,0.242345838723588
406,0.607594936708861,0.648471615720524,306,0.241483398016386
407,0.632911392405063,0.665938864628821,307,0.243208279430789
408,0.651898734177215,0.683406113537118,308,0.229840448469168
409,0.677215189873418,0.700873362445415,309,0.235015092712376
410,0.69620253164557,0.718340611353712,310,0.232427770590772
411,0.721518987341772,0.737991266375546,311,0.225528244933161
412,0.753164556962025,0.75764192139738,312,0.216472617507546
413,0.778481012658228,0.775109170305677,313,0.213454075032342
414,0.810126582278481,0.792576419213974,314,0.211297973264338
415,0.841772151898734,0.814410480349345,315,0.209573091849935
416,0.873417721518987,0.829694323144105,316,0.200517464424321
417,0.90506329113924,0.847161572052402,317,0.205692108667529
418,0.930379746835443,0.862445414847162,318,0.199655023717119
419,0.955696202531646,0.877729257641921,319,0.198792583009918
420,0.974683544303797,0.890829694323144,320,0.196636481241915
421,0.993670886075949,0.903930131004367,321,0.1875808538163
422,1,0.917030567685589,322,0.185424752048297
423,1,0.927947598253275,323,0.185424752048297
424,0.993670886075949,0.938864628820961,324,0.179818887451488
425,0.981012658227848,0.947598253275109,325,0.171625700733075
426,0.968354430379747,0.958515283842795,326,0.172919361793877
427,0.943037974683544,0.967248908296943,327,0.175506683915481
428,0.924050632911392,0.978165938864629,328,0.171194480379474
429,0.892405063291139,0.986899563318777,329,0.154808106942648
430,0.867088607594937,0.991266375545851,330,0.157395429064252
431,0.835443037974684,0.997816593886463,331,0.148339801638637
432,0.80379746835443,1,332,0.154808106942648
433,0.772151898734177,1,333,0.160413971539457
434,0.746835443037975,0.997816593886463,334,0.154808106942648
435,0.715189873417722,0.991266375545851,335,0.150927123760242
436,0.683544303797468,0.98471615720524,336,0.146183699870634
437,0.651898734177215,0.978165938864629,337,0.145752479517033
438,0.626582278481013,0.967248908296943,338,0.147046140577835
439,0.594936708860759,0.95414847161572,339,0.147477360931436
440,0.563291139240506,0.941048034934498,340,0.137990513152221
441,0.537974683544304,0.925764192139738,341,0.153514445881846
442,0.512658227848101,0.906113537117904,342,0.141440275981026
443,0.487341772151899,0.888646288209607,343,0.138852953859422
444,0.462025316455696,0.866812227074236,344,0.140577835273825
445,0.436708860759494,0.847161572052402,345,0.141440275981026
446,0.411392405063291,0.82532751091703,346,0.13152220784821
447,0.392405063291139,0.803493449781659,347,0.137128072445019
448,0.373417721518987,0.781659388646288,348,0.14359637774903
449,0.354430379746835,0.759825327510917,349,0.155670547649849
450,0.335443037974684,0.737991266375546,350,0.15653298835705
451,0.322784810126582,0.718340611353712,351,0.152652005174644
452,0.310126582278481,0.696506550218341,352,0.15006468305304
453,0.29746835443038,0.676855895196506,353,0.148339801638637
454,0.284810126582278,0.657205240174672,354,0.151358344113842
455,0.272151898734177,0.639737991266375,355,0.150495903406641
456,0.259493670886076,0.622270742358078,356,0.152220784821044
457,0.253164556962025,0.604803493449782,357,0.149633462699439
458,0.240506329113924,0.589519650655022,358,0.153083225528245
459,0.234177215189873,0.574235807860262,359,0.15610176800345
460,0.227848101265823,0.561135371179039,360,0.171625700733075
461,0.221518987341772,0.545851528384279,361,0.167744717550668
462,0.215189873417722,0.532751091703057,362,0.167744717550668
463,0.208860759493671,0.521834061135371,363,0.171625700733075
464,0.20253164556962,0.508733624454148,364,0.172488141440276
465,0.19620253164557,0.495633187772926,365,0.17507546356188
466,0.189873417721519,0.482532751091703,366,0.178525226390686
467,0.189873417721519,0.471615720524017,367,0.179818887451488
468,0.183544303797468,0.460698689956332,368,0.179387667097887
469,0.177215189873418,0.449781659388646,369,0.18154376886589
470,0.177215189873418,0.441048034934498,370,0.184993531694696
471,0.170886075949367,0.430131004366812,371,0.186718413109099
472,0.170886075949367,0.421397379912664,372,0.1875808538163
473,0.164556962025316,0.412663755458515,373,0.189736955584304
474,0.158227848101266,0.40174672489083,374,0.189736955584304
475,0.158227848101266,0.395196506550218,375,0.193186718413109
476,0.158227848101266,0.38646288209607,376,0.19404915912031
477,0.151898734177215,0.379912663755458,377,0.19404915912031
478,0.151898734177215,0.37117903930131,378,0.197067701595515
479,0.145569620253165,0.364628820960699,379,0.196636481241915
480,0.145569620253165,0.360262008733624,380,0.199655023717119
481,0.145569620253165,0.353711790393013,381,0.200948684777922
482,0.139240506329114,0.347161572052402,382,0.205260888313928
483,0.139240506329114,0.34061135371179,383,0.208279430789133
484,0.139240506329114,0.334061135371179,384,0.215178956446744
485,0.132911392405063,0.327510917030568,385,0.221216041397154
486,0.132911392405063,0.323144104803493,386,0.228115567054765
487,0.132911392405063,0.316593886462882,387,0.234152652005175
488,0.132911392405063,0.310043668122271,388,0.244501940491591
489,0.132911392405063,0.303493449781659,389,0.257438551099612
490,0.126582278481013,0.299126637554585,390,0.270375161707633
491,0.126582278481013,0.292576419213974,391,0.285899094437257
492,0.126582278481013,0.286026200873362,392,0.304010349288486
493,0.126582278481013,0.279475982532751,393,0.323846485554118
494,0.120253164556962,0.275109170305677,394,0.345407503234153
495,0.120253164556962,0.270742358078603,395,0.367399741267788
496,0.120253164556962,0.266375545851528,396,0.390254420008624
497,0.120253164556962,0.262008733624454,397,0.413971539456662
498,0.120253164556962,0.259825327510917,398,0.438551099611902
499,0.120253164556962,0.25764192139738,399,0.463130659767141
500,0.113924050632911,0.255458515283843,400,0.484691677447176
501,0.113924050632911,0.255458515283843,401,0.50625269512721
502,0.113924050632911,0.255458515283843,402,0.528244933160845
503,0.113924050632911,0.25764192139738,403,0.54980595084088
504,0.120253164556962,0.259825327510917,404,0.569210866752911
505,0.120253164556962,0.262008733624454,405,0.588615782664942
506,0.120253164556962,0.266375545851528,406,0.60629581716257
507,0.120253164556962,0.270742358078603,407,0.623113410952997
508,0.120253164556962,0.275109170305677,408,0.639931004743424
509,0.120253164556962,0.281659388646288,409,0.657611039241052
510,0.126582278481013,0.2882096069869,410,0.674428633031479
511,0.126582278481013,0.294759825327511,411,0.69383354894351
512,0.126582278481013,0.301310043668122,412,0.714100905562743
513,0.126582278481013,0.307860262008734,413,0.736524363949978
514,0.132911392405063,0.314410480349345,414,0.758516601983614
515,0.132911392405063,0.318777292576419,415,0.783527382492454
516,0.132911392405063,0.32532751091703,416,0.806813281586891
517,0.132911392405063,0.327510917030568,417,0.83096162138853
518,0.132911392405063,0.331877729257642,418,0.854678740836567
519,0.139240506329114,0.334061135371179,419,0.877102199223803
520,0.139240506329114,0.334061135371179,420,0.896938335489435
521,0.139240506329114,0.334061135371179,421,0.915049590340664
522,0.139240506329114,0.334061135371179,422,0.93143596377749
523,0.132911392405063,0.329694323144105,423,0.945666235446313
524,0.132911392405063,0.327510917030568,424,0.958171625700733
525,0.132911392405063,0.320960698689956,425,0.96895213454075
526,0.132911392405063,0.316593886462882,426,0.976282880551962
527,0.126582278481013,0.310043668122271,427,0.984044846916774
528,0.126582278481013,0.303493449781659,428,0.990513152220785
529,0.126582278481013,0.294759825327511,429,0.994825355756792
530,0.120253164556962,0.2882096069869,430,0.998275118585597
531,0.120253164556962,0.279475982532751,431,1
532,0.113924050632911,0.27292576419214,432,1
533,0.113924050632911,0.264192139737991,433,0.998706338939198
534,0.107594936708861,0.25764192139738,434,0.994825355756792
535,0.107594936708861,0.248908296943231,435,0.988788270806382
536,0.10126582278481,0.244541484716157,436,0.980595084087969
537,0.10126582278481,0.237991266375546,437,0.970677015955153
538,0.10126582278481,0.233624454148472,438,0.957309184993532
539,0.0949367088607595,0.229257641921397,439,0.942216472617508
540,0.0949367088607595,0.22707423580786,440,0.925398878827081
541,0.0949367088607595,0.224890829694323,441,0.906856403622251
542,0.0949367088607595,0.224890829694323,442,0.885295385942217
543,0.0886075949367089,0.224890829694323,443,0.86244070720138
544,0.0886075949367089,0.224890829694323,444,0.839154808106943
545,0.0886075949367089,0.224890829694323,445,0.813712807244502
546,0.0886075949367089,0.22707423580786,446,0.788702026735662
547,0.0886075949367089,0.22707423580786,447,0.764122466580423
548,0.0886075949367089,0.229257641921397,448,0.738680465717982
549,0.0886075949367089,0.229257641921397,449,0.714100905562743
550,0.0949367088607595,0.231441048034934,450,0.691677447175507
551,0.0949367088607595,0.231441048034934,451,0.668391548081069
552,0.0949367088607595,0.231441048034934,452,0.645536869340233
553,0.0949367088607595,0.231441048034934,453,0.623544631306598
554,0.0949367088607595,0.231441048034934,454,0.602846054333765
555,0.0949367088607595,0.229257641921397,455,0.583872358775334
556,0.0949367088607595,0.22707423580786,456,0.564467442863303
557,0.0949367088607595,0.224890829694323,457,0.547649849072876
558,0.0949367088607595,0.222707423580786,458,0.530832255282449
559,0.0949367088607595,0.220524017467249,459,0.514877102199224
560,0.0886075949367089,0.216157205240175,460,0.5002156101768
561,0.0886075949367089,0.213973799126638,461,0.485985338507978
562,0.0886075949367089,0.209606986899563,462,0.472186287192756
563,0.0886075949367089,0.205240174672489,463,0.458818456231134
564,0.0886075949367089,0.200873362445415,464,0.446313065976714
565,0.0822784810126582,0.196506550218341,465,0.433807675722294
566,0.0822784810126582,0.192139737991266,466,0.421733505821475
567,0.0822784810126582,0.185589519650655,467,0.410521776627857
568,0.0822784810126582,0.181222707423581,468,0.399310047434239
569,0.0759493670886076,0.176855895196507,469,0.388529538594222
570,0.0759493670886076,0.172489082969432,470,0.379042690815007
571,0.0759493670886076,0.168122270742358,471,0.368262181974989
572,0.069620253164557,0.163755458515284,472,0.359637774902975
573,0.069620253164557,0.161572052401747,473,0.350582147477361
574,0.069620253164557,0.157205240174672,474,0.341957740405347
575,0.069620253164557,0.155021834061135,475,0.334195774040535
576,0.0632911392405063,0.150655021834061,476,0.326433807675722
577,0.0632911392405063,0.148471615720524,477,0.319965502371712
578,0.0632911392405063,0.146288209606987,478,0.313065976714101
579,0.0632911392405063,0.14410480349345,479,0.307028891763691
580,0.0632911392405063,0.14410480349345,480,0.300991806813282
581,0.0632911392405063,0.14410480349345,481,0.295385942216473
582,0.0569620253164557,0.141921397379913,482,0.289780077619664
583,0.0569620253164557,0.14410480349345,483,0.284605433376455
584,0.0569620253164557,0.14410480349345,484,0.279862009486848
585,0.0569620253164557,0.146288209606987,485,0.27468736524364
586,0.0569620253164557,0.148471615720524,486,0.270375161707633
587,0.0569620253164557,0.150655021834061,487,0.264769297110824
588,0.0569620253164557,0.152838427947598,488,0.260025873221216
589,0.0569620253164557,0.152838427947598,489,0.254851228978008
590,0.0569620253164557,0.155021834061135,490,0.2501078050884
591,0.0569620253164557,0.155021834061135,491,0.245364381198793
592,0.0569620253164557,0.155021834061135,492,0.240189736955584
593,0.0569620253164557,0.155021834061135,493,0.235446313065977
594,0.0569620253164557,0.155021834061135,494,0.23113410952997
595,0.0569620253164557,0.155021834061135,495,0.226390685640362
596,0.0569620253164557,0.152838427947598,496,0.222078482104355
597,0.0569620253164557,0.152838427947598,497,0.218197498921949
598,0.0569620253164557,0.150655021834061,498,0.215178956446744
599,0.0569620253164557,0.148471615720524,499,0.212160413971539
600,0.0569620253164557,0.146288209606987,500,0.210004312203536
601,0.0506329113924051,0.141921397379913,501,0.208710651142734
602,0.0506329113924051,0.139737991266376,502,0.207848210435533
603,0.0506329113924051,0.135371179039301,503,0.207848210435533
604,0.0506329113924051,0.133187772925764,504,0.208279430789133
605,0.0506329113924051,0.131004366812227,505,0.209573091849935
606,0.0443037974683544,0.126637554585153,506,0.211297973264338
607,0.0443037974683544,0.124454148471616,507,0.213454075032342
608,0.0443037974683544,0.120087336244541,508,0.216472617507546
609,0.0443037974683544,0.117903930131004,509,0.220353600689953
610,0.0443037974683544,0.11353711790393,510,0.224665804225959
611,0.0379746835443038,0.111353711790393,511,0.229840448469168
612,0.0379746835443038,0.106986899563319,512,0.235015092712376
613,0.0379746835443038,0.104803493449782,513,0.240189736955584
614,0.0379746835443038,0.100436681222707,514,0.245795601552393
615,0.0379746835443038,0.0982532751091703,515,0.250970245795602
616,0.0316455696202532,0.0938864628820961,516,0.25614489003881
617,0.0316455696202532,0.0917030567685589,517,0.260888313928417
618,0.0316455696202532,0.0895196506550218,518,0.264338076757223
619,0.0316455696202532,0.0851528384279476,519,0.267356619232428
620,0.0316455696202532,0.0829694323144105,520,0.269943941354032
621,0.0316455696202532,0.0807860262008734,521,0.271237602414834
622,0.0253164556962025,0.0786026200873362,522,0.271668822768435
623,0.0253164556962025,0.074235807860262,523,0.271237602414834
624,0.0253164556962025,0.0720524017467249,524,0.269081500646831
625,0.0253164556962025,0.0698689956331878,525,0.266494178525226
626,0.0253164556962025,0.0676855895196506,526,0.26261319534282
627,0.0253164556962025,0.0676855895196506,527,0.257869771453213
628,0.0253164556962025,0.0655021834061135,528,0.252263906856404
629,0.0253164556962025,0.0633187772925764,529,0.246658042259595
630,0.0253164556962025,0.0633187772925764,530,0.239758516601984
631,0.0253164556962025,0.0611353711790393,531,0.233290211297973
632,0.0253164556962025,0.0611353711790393,532,0.226390685640362
633,0.0253164556962025,0.0589519650655022,533,0.219491159982751
634,0.0253164556962025,0.0589519650655022,534,0.21259163432514
635,0.0253164556962025,0.0589519650655022,535,0.20612332902113
636,0.0189873417721519,0.0589519650655022,536,0.199655023717119
637,0.0189873417721519,0.0611353711790393,537,0.193186718413109
638,0.0189873417721519,0.0611353711790393,538,0.188443294523502
639,0.0189873417721519,0.0633187772925764,539,0.183699870633894
640,0.0253164556962025,0.0676855895196506,540,0.180681328158689
641,0.0253164556962025,0.0698689956331878,541,0.177662785683484
642,0.0253164556962025,0.074235807860262,542,0.175937904269082
643,0.0253164556962025,0.0764192139737991,543,0.17507546356188
644,0.0253164556962025,0.0807860262008734,544,0.17507546356188
645,0.0253164556962025,0.0829694323144105,545,0.175506683915481
646,0.0316455696202532,0.0851528384279476,546,0.176369124622682
647,0.0316455696202532,0.0851528384279476,547,0.178525226390686
648,0.0316455696202532,0.0851528384279476,548,0.180250107805088
649,0.0316455696202532,0.0851528384279476,549,0.182406209573092
650,0.0316455696202532,0.0851528384279476,550,0.184562311341095
651,0.0316455696202532,0.0829694323144105,551,0.186718413109099
652,0.0316455696202532,0.0807860262008734,552,0.188874514877102
653,0.0316455696202532,0.0807860262008734,553,0.190168175937904
654,0.0316455696202532,0.0786026200873362,554,0.191461836998706
655,0.0316455696202532,0.0764192139737991,555,0.192324277705908
656,0.0316455696202532,0.0720524017467249,556,0.191893057352307
657,0.0316455696202532,0.0698689956331878,557,0.191461836998706
658,0.0253164556962025,0.0676855895196506,558,0.190168175937904
659,0.0253164556962025,0.0655021834061135,559,0.188443294523502
660,0.0253164556962025,0.0633187772925764,560,0.185855972401897
661,0.0253164556962025,0.0589519650655022,561,0.183268650280293
662,0.0253164556962025,0.0567685589519651,562,0.179818887451488
663,0.0253164556962025,0.0545851528384279,563,0.176369124622682
664,0.0189873417721519,0.0524017467248908,564,0.172056921086675
665,0.0189873417721519,0.0480349344978166,565,0.167744717550668
666,0.0189873417721519,0.0458515283842795,566,0.163432514014662
667,0.0189873417721519,0.0436681222707424,567,0.158689090125054
668,0.0189873417721519,0.0414847161572052,568,0.154376886589047
669,0.0189873417721519,0.0393013100436681,569,0.149202242345839
670,0.0126582278481013,0.037117903930131,570,0.144890038809832
671,0.0126582278481013,0.0349344978165939,571,0.140146614920224
672,0.0126582278481013,0.0327510917030568,572,0.135834411384217
673,0.0126582278481013,0.0327510917030568,573,0.131953428201811
674,0.0126582278481013,0.0305676855895196,574,0.128503665373006
675,0.0126582278481013,0.0283842794759825,575,0.1250539025442
676,0.0126582278481013,0.0262008733624454,576,0.121604139715395
677,0.00632911392405063,0.0262008733624454,577,0.11858559724019
678,0.00632911392405063,0.0240174672489083,578,0.116429495472186
679,0.00632911392405063,0.0218340611353712,579,0.114273393704183
680,0.00632911392405063,0.0218340611353712,580,0.11254851228978
681,0.00632911392405063,0.0196506550218341,581,0.111254851228978
682,0.00632911392405063,0.0174672489082969,582,0.110392410521777
683,0.00632911392405063,0.0174672489082969,583,0.109961190168176
684,0.00632911392405063,0.0152838427947598,584,0.109961190168176
685,0.00632911392405063,0.0152838427947598,585,0.110823630875377
686,0.00632911392405063,0.0131004366812227,586,0.112117291936179
687,0,0.0131004366812227,587,0.112979732643381
688,0,0.0109170305676856,588,0.114273393704183
689,0,0.0109170305676856,589,0.115998275118586
690,0,0.00873362445414847,590,0.116860715825787
691,0,0.00873362445414847,591,0.118154376886589
692,0,0.00655021834061135,592,0.119448037947391
693,0,0.00655021834061135,593,0.119879258300992
694,0,0.00436681222707424,594,0.120310478654593
695,0,0.00436681222707424,595,0.120310478654593
696,0,0.00436681222707424,596,0.120310478654593
697,0,0.00218340611353712,597,0.119448037947391
698,0,0.00218340611353712,598,0.11858559724019
699,0,0,599,0.117291936179388
700,0,0,600,0.115998275118586
--,--,--,601,0.113842173350582
--,--,--,602,0.112117291936179
--,--,--,603,0.109529969814575
--,--,--,604,0.10651142733937
--,--,--,605,0.103924105217766
--,--,--,606,0.101336783096162
--,--,--,607,0.0983182406209573
--,--,--,608,0.0952996981457525
--,--,--,609,0.0927123760241483
--,--,--,610,0.0896938335489435
--,--,--,611,0.0866752910737387
--,--,--,612,0.0840879689521345
--,--,--,613,0.0810694264769297
--,--,--,614,0.0780508840017249
--,--,--,615,0.0754635618801208
--,--,--,616,0.0728762397585166
--,--,--,617,0.0698576972833118
--,--,--,618,0.0672703751617076
--,--,--,619,0.0642518326865028
--,--,--,620,0.0620957309184994
--,--,--,621,0.0599396291504959
--,--,--,622,0.0577835273824925
--,--,--,623,0.0551962052608883
--,--,--,624,0.0530401034928849
--,--,--,625,0.0513152220784821
--,--,--,626,0.0495903406640793
--,--,--,627,0.0474342388960759
--,--,--,628,0.0457093574816731
--,--,--,629,0.0444156964208711
--,--,--,630,0.0435532557136697
--,--,--,631,0.0426908150064683
--,--,--,632,0.0413971539456662
--,--,--,633,0.0409659335920655
--,--,--,634,0.0405347132384649
--,--,--,635,0.0405347132384649
--,--,--,636,0.0401034928848642
--,--,--,637,0.0405347132384649
--,--,--,638,0.0418283742992669
--,--,--,639,0.0426908150064683
--,--,--,640,0.0448469167744718
--,--,--,641,0.0470030185424752
--,--,--,642,0.05002156101768
--,--,--,643,0.0534713238464855
--,--,--,644,0.0564898663216904
--,--,--,645,0.0599396291504959
--,--,--,646,0.0629581716257007
--,--,--,647,0.0659767141009056
--,--,--,648,0.068132815868909
--,--,--,649,0.0694264769297111
--,--,--,650,0.0702889176369125
--,--,--,651,0.0707201379905132
--,--,--,652,0.0702889176369125
--,--,--,653,0.0694264769297111
--,--,--,654,0.0685640362225097
--,--,--,655,0.0668391548081069
--,--,--,656,0.0646830530401035
--,--,--,657,0.0629581716257007
--,--,--,658,0.0603708495040966
--,--,--,659,0.0582147477360931
--,--,--,660,0.0560586459680897
--,--,--,661,0.0534713238464855
--,--,--,662,0.0508840017248814
--,--,--,663,0.0482966796032773
--,--,--,664,0.0461405778352738
--,--,--,665,0.0435532557136697
--,--,--,666,0.0409659335920655
--,--,--,667,0.0388098318240621
--,--,--,668,0.0370849504096593
--,--,--,669,0.0349288486416559
--,--,--,670,0.0327727468736524
--,--,--,671,0.030616645105649
--,--,--,672,0.0288917636912462
--,--,--,673,0.0271668822768435
--,--,--,674,0.0254420008624407
--,--,--,675,0.0237171194480379
--,--,--,676,0.0224234583872359
--,--,--,677,0.0206985769728331
--,--,--,678,0.0189736955584304
--,--,--,679,0.0176800344976283
--,--,--,680,0.0159551530832255
--,--,--,681,0.0146614920224235
--,--,--,682,0.0133678309616214
--,--,--,683,0.01250539025442
--,--,--,684,0.0112117291936179
--,--,--,685,0.00991806813281587
--,--,--,686,0.00905562742561449
--,--,--,687,0.00776196636481242
--,--,--,688,0.00689952565761104
--,--,--,689,0.00646830530401035
--,--,--,690,0.00560586459680897
--,--,--,691,0.00474342388960759
--,--,--,692,0.00388098318240621
--,--,--,693,0.00301854247520483
--,--,--,694,0.00215610176800345
--,--,--,695,0.00129366106080207
--,--,--,696,8.6244070720138E-4
--,--,--,697,0
--,--,--,698,0
--,--,--,699,-8.6244070720138E-4
--,--,--,700,-0.00129366106080207
